time_tick,lac_X_value,lac_Y_value,lac_Z_value
20.422673,-3.753497,-4.067553,-2.112790
20.472701,1.378799,-2.341828,-0.619771
20.502738,0.481652,5.816299,7.815331
20.522754,2.409505,7.637418,6.017306
20.552777,0.099007,-0.645397,4.765199
20.592804,-1.005890,5.426805,-3.914684
20.632835,0.205441,0.620295,-0.046494
20.662846,-0.932678,2.110432,-0.949978
20.692881,-0.229300,-4.693135,-2.880261
20.722903,0.333455,-4.311719,1.779337
20.762910,-0.449643,-2.968143,0.248733
20.792956,-0.529763,4.980367,0.044382
20.822978,-0.279760,10.488868,-0.133128
20.853001,-0.019001,1.123047,0.342406
20.883023,-1.144257,0.726472,0.228234
20.923052,-0.547428,0.327934,0.027912
20.963078,-0.411241,-0.041738,-0.426359
20.993105,0.059329,0.239619,-0.248340
21.023127,-0.148318,0.263518,-0.370533
21.063148,0.330800,0.165398,0.314571
21.093176,0.022641,-0.484395,0.209974
21.123176,-0.320436,-0.144443,-0.032667
21.153205,-0.146385,-0.015558,-0.209108
21.193240,0.492368,0.047860,0.342647
21.223270,0.122985,0.034027,0.621956
21.253298,-0.078343,-0.156828,0.062318
21.293329,0.318062,0.095807,-0.135140
21.323351,0.149121,0.111548,0.471412
21.363382,-0.378241,-0.326220,0.781619
21.393404,-0.925009,0.090868,0.489456
21.423427,-0.222808,0.108957,0.441073
21.463455,0.106819,-0.051151,0.895098
21.493478,-0.151178,0.155097,-0.190994
21.523501,-0.645250,0.020624,0.848537
